legal_name,dba_name,city,county,state,zip,address,phone,website,vertical,naics_code,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,year_established,years_in_business,entity_status,is_distressed,estimated_employee_count,specialty,score_run_id,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,deep_dive_pending,hard_gate_reason
Chaparral Welding & Fabrication,,Dallas,Dallas,TX,75229,2453 Merrell Road,(972) 243-7747,https://www.chaparralwelding.com/,welding_metal_fab,332710,Family-owned WOSB (Women-Owned Small Business); specific principal not disclosed,60,founding_year_proxy_plus_20,,1994,32,unknown_not_yet_verified_in_comptroller,False,15,"structural pieces, stairs, material handling, ornamental ironwork (steel/stainless/aluminum)",c03c477f-f30f-4a21-8c1b-c69cb707803b,67,Owner age ~60 approaching succession window (58-62); tenure 32 yrs (mod +2),55,customers: public/civic bid list (+3); emp band 15 (+5); discounts -3; cert-tied transfer risk,54,pre-2000 same shop (+8); no CAD/CAM stack (+4); no modern equip (+3); phone-driven sales (+4),73,Dallas DFW general industrial (73); welding=low PE attention/entry oppty,61,C,Score 61 (C) | L1=67 L2=55 L3=54 L4=73 | raw 61 (C) → C after gates | Confidence=medium,Premium-residential digital marketing + architect-channel partnership | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.55,False,
EDM of Garland Inc.,,Garland,Dallas,TX,75041,3209 S Shiloh Rd #K,(972) 271-9028,https://www.edmofgarland.com/,welding_metal_fab,332710,Jackson family (three generations; specific principal not named on website),68,founding_year_proxy_three_generations,42,1984,42,unknown_not_yet_verified_in_comptroller,False,12,"precision wire & sinker EDM, welding (incl. precision aluminum TIG), CNC machining, plasma cutting",c03c477f-f30f-4a21-8c1b-c69cb707803b,96,Owner age ~68 in late-retirement window (68+); tenure 42 yrs (mod +4),61,"customers: aerospace, medical (+7); niche: EDM specialty (+2); emp band 12 (+2)",58,pre-1990 same shop (+12); no CAD/CAM stack (+4); no modern equip (+3); social absent (+3); no certs listed (+1),73,Dallas DFW general industrial (73); welding=low PE attention/entry oppty,72,B,Score 72 (B) | L1=96 L2=61 L3=58 L4=73 | raw 72 (B) → B after gates | Confidence=high,AS9100/NADCAP cert lift → tier-1 aerospace contract upgrade | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.7,True,
Cox Welding Services Inc.,,Plano,Collin,TX,75074,1512 14th St,(972) 423-1333,https://coxweldingservices.com/,welding_metal_fab,332710,Cox family (specific principal not disclosed),70,founding_year_proxy_plus_25,,1980,45,unknown_not_yet_verified_in_comptroller,False,10,"general welding/metal fab (aircraft parts → handrails); residential, commercial, industrial",c03c477f-f30f-4a21-8c1b-c69cb707803b,96,Owner age ~70 in late-retirement window (68+); tenure 45 yrs (mod +4),68,"certs: AS9100, NADCAP (+13); customers: established repeat customers (+3); emp band 10 (+2)",70,pre-1990 same shop (+12); no CAD/CAM stack (+4); no modern equip (+3); phone-driven sales (+4); social absent (+3); anonymous principal (+4); succession gap noted (+5),73,Collin DFW general industrial (73); welding=low PE attention/entry oppty,78,B,Score 78 (B) | L1=96 L2=68 L3=70 L4=73 | raw 78 (B) → B after gates | Confidence=medium,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.55,True,
J Haas Welding and Fabrication LLC,,Fort Worth,Tarrant,TX,,,(817) 721-5457,https://www.jhaasweldingandfabrication.com/,welding_metal_fab,332710,J. Haas (founder; full name not disclosed on website),55,founding_year_proxy_25_yrs_experience,26,2000,26,unknown_not_yet_verified_in_comptroller,False,8,"aluminum fab & repair, precision metal fab, CNC plasma cutting, laser engraving, MIG welding, machine shop",c03c477f-f30f-4a21-8c1b-c69cb707803b,45,Owner age ~55 in pre-succession band (53-57); tenure 26 yrs (mod +0),56,customers: established repeat customers (+3); emp band 8 (+2),54,pre-2000 same shop (+8); no CAD/CAM stack (+4); no modern equip (+3); phone-driven sales (+4),73,Tarrant DFW general industrial (73); welding=low PE attention/entry oppty,55,C,Score 55 (C) | L1=45 L2=56 L3=54 L4=73 | raw 55 (C) → C after gates | Confidence=low,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.5,False,
Alliance Welding & Metal Fabrication,Alliance Welding,Fort Worth,Tarrant,TX,,,,http://www.allianceweldingtx.com/,welding_metal_fab,332313,Family-operated; specific principal not disclosed,65,founding_year_proxy_plus_30,,1989,35,unknown_not_yet_verified_in_comptroller,False,10,"structural, ornamental, miscellaneous steel work",c03c477f-f30f-4a21-8c1b-c69cb707803b,84,Owner age ~65 in classic succession window (63-67); tenure 35 yrs (mod +2),47,emp band 10 (+2); discounts -5; pure-ornamental discount,71,pre-1990 same shop (+12); HTTP-only website (+8); pre-2015 web/legacy patterns (+5); no CAD/CAM stack (+4); no modern equip (+3); social absent (+3); no certs listed (+1),73,Tarrant DFW general industrial (73); welding=low PE attention/entry oppty,69,C,Score 69 (C) | L1=84 L2=47 L3=71 L4=73 | raw 69 (C) → C after gates | Confidence=low,Premium-residential digital marketing + architect-channel partnership | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.4,False,
Oscar's Custom Iron Works,,San Antonio,Bexar,TX,,,,http://www.oscarsiron.com/,welding_metal_fab,332323,Oscar family (3rd-generation; founder Oscar not named explicitly on site),60,founding_year_proxy_three_generations,45,1981,45,unknown_not_yet_verified_in_comptroller,False,10,"ornamental ironwork (hand-forged designs, spiral staircases, gates, handrails, fencing, doors, balconies, window guards, auto gate systems)",c03c477f-f30f-4a21-8c1b-c69cb707803b,69,Owner age ~60 approaching succession window (58-62); tenure 45 yrs (mod +4),47,emp band 10 (+2); discounts -5; pure-ornamental discount,73,pre-1990 same shop (+12); HTTP-only website (+8); pre-2015 web/legacy patterns (+5); no CAD/CAM stack (+4); no modern equip (+3); succession gap noted (+5); no certs listed (+1),70,Bexar/SA metro (70); welding=low PE attention/entry oppty,65,C,Score 65 (C) | L1=69 L2=47 L3=73 L4=70 | raw 65 (C) → C after gates | Confidence=medium,Premium-residential digital marketing + architect-channel partnership | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.55,False,
"Texas Toolmakers, Inc.",,San Antonio,Bexar,TX,78216,11411 East Coker Loop,(210) 494-3651,https://www.txtoolmakers.com/,welding_metal_fab,332999,Privately owned (specific principal not disclosed),72,founding_year_proxy_plus_25,,1977,49,unknown_not_yet_verified_in_comptroller,False,35,"tool & die, CNC + conventional machining, certified welding, precision sheet metal, plastic injection mold work, turnkey aerospace fab",c03c477f-f30f-4a21-8c1b-c69cb707803b,96,Owner age ~72 in late-retirement window (68+); tenure 49 yrs (mod +4),75,"certs: ISO 9001, AS9100, ITAR (+10); customers: aerospace, medical, tier-1/anchor (+10); emp band 35 (+5)",58,pre-1990 same shop (+12); no CAD/CAM stack (+4); no modern equip (+3); anonymous principal (+4),76,SA aerospace adjacency (76); welding=low PE attention/entry oppty,76,B,Score 76 (B) | L1=96 L2=75 L3=58 L4=76 | raw 76 (B) → B after gates | Confidence=medium,AS9100/NADCAP cert lift → tier-1 aerospace contract upgrade | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.55,True,
Southwestern Welding & Machining,,San Antonio,Bexar,TX,78220,2751 S. Foster Road,(210) 648-6011,https://southwesternwelding.com/,welding_metal_fab,332710,Family-owned (specific principal not disclosed),65,founding_year_proxy_plus_28,,1987,37,unknown_not_yet_verified_in_comptroller,False,15,heavy equipment welding & machining (custom fabrications + repairs),c03c477f-f30f-4a21-8c1b-c69cb707803b,84,Owner age ~65 in classic succession window (63-67); tenure 37 yrs (mod +2),55,emp band 15 (+5),65,pre-1990 same shop (+12); no CAD/CAM stack (+4); no modern equip (+3); no hiring mention (+3); social absent (+3); anonymous principal (+4); no certs listed (+1),70,Bexar/SA metro (70); welding=low PE attention/entry oppty,69,C,Score 69 (C) | L1=84 L2=55 L3=65 L4=70 | raw 69 (C) → C after gates | Confidence=low,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.45,False,
J & S Custom Welding,,San Antonio,Bexar,TX,78253,11509 FM 1957 #18,(210) 679-8700,https://jandscustomwelding.com/,welding_metal_fab,332710,"Juan Ayon + Santiago Ayon (brothers, co-founders)",55,based_on_combined_decades_experience_after_separate_large_firms,,,,unknown_not_yet_verified_in_comptroller,False,8,"aluminum, stainless, iron welding; truck flatbeds, lift gates, PTO installations, hydraulic repairs",c03c477f-f30f-4a21-8c1b-c69cb707803b,45,Owner age ~55 in pre-succession band (53-57); tenure 0 yrs (mod +0),52,emp band 8 (+2),55,pre-2015 web/legacy patterns (+5); no CAD/CAM stack (+4); no modern equip (+3); owner welds/operator (+3); anonymous principal (+4); no certs listed (+1),70,Bexar/SA metro (70); welding=low PE attention/entry oppty,54,D,Score 54 (D) | L1=45 L2=52 L3=55 L4=70 | raw 54 (D) → D after gates | Confidence=low,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.45,False,
Sparkman Industries,,Victoria,Victoria,TX,,,,https://www.sparkmanindustries.com/,welding_metal_fab,332710,Sparkman family (3rd-generation; specific principal not disclosed),65,three_generation_proxy,,,,unknown_not_yet_verified_in_comptroller,False,30,custom structural steel + pipe fabrication,c03c477f-f30f-4a21-8c1b-c69cb707803b,82,Owner age ~65 in classic succession window (63-67); tenure 0 yrs (mod +0),59,customers: petrochem (+4); emp band 30 (+5),43,no CAD/CAM stack (+4); no modern equip (+3); no certs listed (+1),58,Victoria rural/secondary metro (58); welding=low PE attention/entry oppty,61,C,Score 61 (C) | L1=82 L2=59 L3=43 L4=58 | raw 61 (C) → C after gates | Confidence=low,Turnaround/MRO recurring contracts + digital quoting for petrochem owners | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.25,False,
"Gene's Machine, Inc.",,Victoria,Victoria,TX,77904,235 Leeper Lane,(361) 573-7146,https://www.genesmachine.com/,welding_metal_fab,332710,Gene Pratka (founder),73,founding_year_proxy_plus_28,46,1980,46,unknown_not_yet_verified_in_comptroller,False,20,"machining + fabrication for petrochemical, oilfield, offshore",c03c477f-f30f-4a21-8c1b-c69cb707803b,96,Owner age ~73 in late-retirement window (68+); tenure 46 yrs (mod +4),64,"customers: petrochem, offshore/marine (+6); RE: substantial real estate (+3); emp band 20 (+5)",68,pre-1990 same shop (+12); pre-2015 web/legacy patterns (+5); no CAD/CAM stack (+4); no modern equip (+3); active recruiting (-3); social absent (+3); sole/eponymous principal (+3); succession gap noted (+5),58,Victoria rural/secondary metro (58); welding=low PE attention/entry oppty,74,B,Score 74 (B) | L1=96 L2=64 L3=68 L4=58 | raw 74 (B) → B after gates | Confidence=high,Turnaround/MRO recurring contracts + digital quoting for petrochem owners | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.7,True,
Liberty Welding,,Lubbock,Lubbock,TX,79415,1205 North Ave T,(806) 747-9450,https://www.libertyweldinglubbock.com/,welding_metal_fab,332710,Ben Lorck (founder); grandson Tyler Lorck active as welder,72,founding_year_proxy_plus_27_with_grandson_named,45,1981,45,unknown_not_yet_verified_in_comptroller,False,6,"commercial construction welding, ADA handrails, fencing, gates, pergolas, bollards, heavy equipment repair (portable + shop)",c03c477f-f30f-4a21-8c1b-c69cb707803b,96,Owner age ~72 in late-retirement window (68+); tenure 45 yrs (mod +4),54,customers: public/civic bid list (+3),68,pre-1990 same shop (+12); no CAD/CAM stack (+4); no modern equip (+3); owner welds/operator (+3); sole/eponymous principal (+3); succession gap noted (+5); 3rd gen as welder not exec (+3),58,Lubbock rural/secondary metro (58); welding=low PE attention/entry oppty,71,B,Score 71 (B) | L1=96 L2=54 L3=68 L4=58 | raw 71 (B) → B after gates | Confidence=high,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.85,True,
"Metal Specialties, Inc.",,Odessa,Ector,TX,79764,3345 Kermit Hwy,(432) 332-8762,https://www.metalspecialtiesinc.com/,welding_metal_fab,332999,Not disclosed on website (privately owned),70,60_year_tenure_combined_with_100_year_combined_staff_experience,,1964,62,unknown_not_yet_verified_in_comptroller,False,25,"custom metal fab — laser cutting (Al/SS/MS), sheet metal fabrication",c03c477f-f30f-4a21-8c1b-c69cb707803b,98,Owner age ~70 in late-retirement window (68+); tenure 62 yrs (mod +6),58,customers: established repeat customers (+3); emp band 25 (+5),55,pre-1990 same shop (+12); no CAD/CAM stack (+4); modern equip noted (-4); anonymous principal (+4); aging workforce (+3); no certs listed (+1),58,Ector rural/secondary metro (58); welding=low PE attention/entry oppty,69,C,Score 69 (C) | L1=98 L2=58 L3=55 L4=58 | raw 69 (C) → C after gates | Confidence=medium,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.55,False,
"Cherokee Industrial Fabricators, LTD",,Lufkin,Angelina,TX,,,,https://cherokeeindfab.net/,welding_metal_fab,332710,Hoke Family Companies (acquired May 2025),,n/a_excluded,1,1979,47,EXCLUDE_recent_ownership_change,False,26,"welding, forming, cutting, CNC plasma — general industrial fab",c03c477f-f30f-4a21-8c1b-c69cb707803b,49,Age unknown; tenure proxy (47 yrs) suggests mid-career; tenure 47 yrs (mod +4),55,emp band 26 (+5),55,pre-1990 same shop (+12); no CAD/CAM stack (+4); no modern equip (+3); no certs listed (+1),58,Angelina rural/secondary metro (58); welding=low PE attention/entry oppty,25,D,Score 25 (D) | L1=49 L2=55 L3=55 L4=58 | raw 54 (D) → D after gates | Confidence=low | gate: EXCLUSION: ownership change May 2025 (Hoke Family Companies),CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.15,False,EXCLUSION: ownership change May 2025 (Hoke Family Companies)
HCS MetalWorks,Holt Contractor Services / Ranchman Gates,Lorena,McLennan,TX,76655,2226 Losak Rd,(254) 722-5305,https://hcsmetalworks.com/,welding_metal_fab,332710,David Holt (parent: Holt Contractor Services),55,founding_year_proxy_plus_25,25,2001,25,unknown_not_yet_verified_in_comptroller,False,12,"sandblasting, powder coating, welding, custom gates (Ranchman Gates), metal art, machine shop, general contracting",c03c477f-f30f-4a21-8c1b-c69cb707803b,45,Owner age ~55 in pre-succession band (53-57); tenure 25 yrs (mod +0),55,customers: established repeat customers (+3); emp band 12 (+2),46,no CAD/CAM stack (+4); no modern equip (+3); sole/eponymous principal (+3); no certs listed (+1),55,McLennan rural/secondary metro (58); McLennan rural -3; welding=low PE attention/entry oppty,49,D,Score 49 (D) | L1=45 L2=55 L3=46 L4=55 | raw 49 (D) → D after gates | Confidence=medium,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.6,False,
Cox's Welding,,Temple,Bell,TX,,,(254) 771-1271,https://coxswelding.com/home-page,welding_metal_fab,332710,Cox family (specific principal not disclosed),60,implied_from_family_owned_language_assumes_founder_still_active,,,,unknown_not_yet_verified_in_comptroller,False,6,general welding/fabrication for Temple/Killeen/Fort Hood area,c03c477f-f30f-4a21-8c1b-c69cb707803b,65,Owner age ~60 approaching succession window (58-62); tenure 0 yrs (mod +0),60,certs: ITAR (+10),50,no CAD/CAM stack (+4); no modern equip (+3); anonymous principal (+4); sole/eponymous principal (+3); no certs listed (+1),55,Bell rural/secondary metro (58); Bell rural -3; welding=low PE attention/entry oppty,58,C,Score 58 (C) | L1=65 L2=60 L3=50 L4=55 | raw 58 (C) → C after gates | Confidence=low,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.3,False,
"Waco Metal Products, Inc.",Waco Metal Company,Waco,McLennan,TX,,,(254) 829-1675,https://wacometal.com/,welding_metal_fab,332313,Not disclosed on website,65,founding_year_proxy_plus_27,,1986,40,unknown_not_yet_verified_in_comptroller,False,18,"structural steel fab & welding, miscellaneous steel, stairs, railings, CNC services",c03c477f-f30f-4a21-8c1b-c69cb707803b,86,Owner age ~65 in classic succession window (63-67); tenure 40 yrs (mod +4),59,customers: OEM/manufacturer base (+3); emp band 18 (+5),49,pre-1990 same shop (+12); CAD/CAM present (-5); no modern equip (+3); anonymous principal (+4),55,McLennan rural/secondary metro (58); McLennan rural -3; welding=low PE attention/entry oppty,64,C,Score 64 (C) | L1=86 L2=59 L3=49 L4=55 | raw 64 (C) → C after gates | Confidence=medium,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.65,False,
"Brazos Industries, LLC",,College Station,Brazos,TX,,,,https://www.brazosindustries.com/,welding_metal_fab,332710,Not disclosed (Aggie-owned per chamber listing snippet),65,founding_year_proxy_plus_25,,1985,41,unknown_not_yet_verified_in_comptroller,False,18,"welding, custom metal fab, CNC plasma cutting, machining",c03c477f-f30f-4a21-8c1b-c69cb707803b,86,Owner age ~65 in classic succession window (63-67); tenure 41 yrs (mod +4),58,customers: established repeat customers (+3); emp band 18 (+5),64,pre-1990 same shop (+12); pre-2015 web/legacy patterns (+5); no CAD/CAM stack (+4); no modern equip (+3); anonymous principal (+4); no certs listed (+1),58,Brazos rural/secondary metro (58); welding=low PE attention/entry oppty,68,C,Score 68 (C) | L1=86 L2=58 L3=64 L4=58 | raw 68 (C) → C after gates | Confidence=low,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.3,False,
Mavtex Fabrication & Supply,,Longview,Gregg,TX,,,,https://mavtex.com/,welding_metal_fab,332710,Steven Ramo (President/Owner per LinkedIn — connection refused on live fetch),,data_gap_linkedin_blocked,,,,unknown_not_yet_verified_in_comptroller,False,15,"waterjet cutting, fabrication, milling, metal bending, welding, manufacturing services, metal stamping",c03c477f-f30f-4a21-8c1b-c69cb707803b,25,Age unknown; tenure too short for confident inference (0 yrs); tenure 0 yrs (mod +0),55,emp band 15 (+5),36,no CAD/CAM stack (+4); modern equip noted (-4); no certs listed (+1),55,Gregg rural/secondary metro (58); Gregg rural -3; welding=low PE attention/entry oppty,40,D,Score 40 (D) | L1=25 L2=55 L3=36 L4=55 | raw 40 (D) → D after gates | Confidence=low,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.2,False,
Weld Worx LLC,Kelly Brothers Fabrication,Tyler,Smith,TX,,3220 FM 2767,(903) 531-9353,https://www.weldworxtyler.com/,welding_metal_fab,332710,Kelly Brothers (co-founders; full names not disclosed),50,founding_year_proxy_plus_25_for_co_founder_brothers,15,2011,15,unknown_not_yet_verified_in_comptroller,False,12,"commercial + industrial fabrication, metal design + engineering, steel hauling, TIG/MIG welding",c03c477f-f30f-4a21-8c1b-c69cb707803b,22,Owner age ~50 too young for succession trigger (<53); tenure 15 yrs (mod +0),55,customers: established repeat customers (+3); emp band 12 (+2),43,no CAD/CAM stack (+4); no modern equip (+3); no certs listed (+1),55,Smith rural/secondary metro (58); Smith rural -3; welding=low PE attention/entry oppty,42,D,Score 42 (D) | L1=22 L2=55 L3=43 L4=55 | raw 42 (D) → D after gates | Confidence=low,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.45,False,
"Second Generation Arc 'N' Spark Welding, LLC",2 Gen Arc N Spark,Bryan,Brazos,TX,,7502 East State Highway 21,(979) 778-1999,https://2genarcnspark.com/,welding_metal_fab,332710,Second-generation family (name not disclosed on website),55,2nd_gen_naming_implies_~55,,,,unknown_not_yet_verified_in_comptroller,False,15,"industrial metal fab, welding, machining + cutting, on-site (laser, waterjet, CNC)",c03c477f-f30f-4a21-8c1b-c69cb707803b,45,Owner age ~55 in pre-succession band (53-57); tenure 0 yrs (mod +0),55,emp band 15 (+5),35,no CAD/CAM stack (+4); modern equip noted (-4),58,Brazos rural/secondary metro (58); welding=low PE attention/entry oppty,46,D,Score 46 (D) | L1=45 L2=55 L3=35 L4=58 | raw 46 (D) → D after gates | Confidence=medium,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.55,False,
AccuSpec Fabrication,,Bryan,Brazos,TX,77808,1815 Drillers Drive,(979) 476-9761,https://accuspecfab.com/,welding_metal_fab,332710,Not disclosed on website,55,estimate_no_explicit_data,,,,unknown_not_yet_verified_in_comptroller,False,22,"metal fab, machining, repair, welding, hydraulic services, cladding + weld overlay",c03c477f-f30f-4a21-8c1b-c69cb707803b,45,Owner age ~55 in pre-succession band (53-57); tenure 0 yrs (mod +0),58,niche: cladding/weld-overlay (+3); emp band 22 (+5),47,no CAD/CAM stack (+4); no modern equip (+3); anonymous principal (+4); no certs listed (+1),58,Brazos rural/secondary metro (58); welding=low PE attention/entry oppty,51,D,Score 51 (D) | L1=45 L2=58 L3=47 L4=58 | raw 51 (D) → D after gates | Confidence=low,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.4,False,
Broome Welding & Machine Co.,,Galveston,Galveston,TX,77554,7909 Bayside Avenue,(409) 744-0407,https://broomewelding.com/,welding_metal_fab,332710,Broome family (per company name; specific principal not disclosed),70,founding_year_proxy_plus_25_eponymous_assumption,,1976,50,unknown_not_yet_verified_in_comptroller,False,18,"fabrication, machine shop, certified welding of various alloys, ornamental + structural, pipe fab, flood door barriers",c03c477f-f30f-4a21-8c1b-c69cb707803b,98,Owner age ~70 in late-retirement window (68+); tenure 50 yrs (mod +6),60,customers: established repeat customers (+3); niche: hurricane/flood niche (+2); emp band 18 (+5),64,pre-1990 same shop (+12); no CAD/CAM stack (+4); no modern equip (+3); phone-driven sales (+4); sole/eponymous principal (+3); aging workforce (+3),72,Galveston coastal TX petrochem (72); welding=low PE attention/entry oppty,74,B,Score 74 (B) | L1=98 L2=60 L3=64 L4=72 | raw 74 (B) → B after gates | Confidence=medium,Premium-residential digital marketing + architect-channel partnership | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.6,True,
Steel Fox Designs,,Brazoria,Brazoria,TX,,,,https://www.steelfoxdesigns.com/,welding_metal_fab,332710,Not disclosed on website,50,estimate_no_explicit_data,,,,unknown_not_yet_verified_in_comptroller,False,6,"CNC plasma, powder coat, welding/fab, parts production, prototyping (aluminum + steel)",c03c477f-f30f-4a21-8c1b-c69cb707803b,22,Owner age ~50 too young for succession trigger (<53); tenure 0 yrs (mod +0),53,customers: established repeat customers (+3),43,no CAD/CAM stack (+4); no modern equip (+3); no certs listed (+1),72,Brazoria coastal TX petrochem (72); welding=low PE attention/entry oppty,44,D,Score 44 (D) | L1=22 L2=53 L3=43 L4=72 | raw 44 (D) → D after gates | Confidence=low,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.3,False,
